id,name
1,New Jersey Devils
2,New York Islanders
3,New York Rangers
4,Philadelphia Flyers
5,Pittsburgh Penguins
6,Boston Bruins
7,Buffalo Sabres
8,Montr̩al Canadiens
9,Ottawa Senators
10,Toronto Maple Leafs
